,Unnamed: 0,index,drugbank_id,name,smiles,selfies,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
2142,2142,2151,DB03125,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC,[C][O][C][=C][C][Branch1][=C][C][C][=C][NH1+1][=C][Branch1][C][N][N][=C][Ring1][#Branch1][N][=C][C][Branch1][Ring1][O][C][=C][Ring1][P][O][C],0.03,1.28,2.83e-01 g/l,17.33,7.16
2143,2143,2152,DB03126,Mant-Adp,[H][C@@]1(C[C@]([H])(OC(=O)C2=CC=CC=C2NC)[C@@]([H])(COP(O)(=O)OP(O)(O)=O)O1)N1C=NC2=C(N)N=CN=C12,[H][C@@][Branch2][Branch1][Ring2][C][C@][Branch1][C][H][Branch1][S][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C@@][Branch1][C][H][Branch2][Ring1][Ring1][C][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][Branch1][C][O][=O][O][Ring2][Ring1][N][N][C][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch2][Ring1][#Branch1],0.19,-2.0,1.91e+00 g/l,2.25,5.01
2144,2144,2153,DB03130,S-P-Nitrobenzyloxycarbonylglutathione,[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CSC(O)OCC1=CC=C(C=C1)[N+]([O-])=O)C(=O)N([H])CC(O)=O)C(O)=O,[H][N][Branch1][C][H][C@@H1][Branch2][Branch1][Ring2][C][C][C][=Branch1][C][=O][N][Branch1][C][H][C@@H1][Branch2][Ring1][Branch2][C][S][C][Branch1][C][O][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][Branch1][C][O-1][=O][C][=Branch1][C][=O][N][Branch1][C][H][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O],-2.0,-2.7,2.86e-01 g/l,1.76,9.31
2145,2145,2154,DB03132,3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid,OS(=O)(=O)CCCSC1=NC2=C(S1)C=CC=C2,[O][S][=Branch1][C][=O][=Branch1][C][=O][C][C][C][S][C][=N][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=C][C][=C][Ring1][#Branch1],1.19,0.3,1.01e-01 g/l,-1.3,1.11
2146,2146,2155,DB03133,"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole",[H][C@]1(CO)O[C@@]([H])(C2=NC3=C(N2)C=C(C)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,[H][C@][Branch1][Ring1][C][O][O][C@@][Branch1][C][H][Branch2][Ring1][Ring1][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C@][Branch1][C][H][Branch1][C][O][C@@][Branch1][C][H][Branch1][C][O][C@][Ring2][Ring1][#Branch1][Branch1][C][H][O],-0.38,-0.76,2.04e+01 g/l,11.23,4.85
2147,2147,2156,DB03134,L-2-aminopimelic acid,N[C@@H](CCCCC(O)=O)C(O)=O,[N][C@@H1][Branch1][#Branch2][C][C][C][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O],-3.2,-2.4,1.26e+01 g/l,2.13,9.53
2148,2148,2157,DB03135,[2(Formyl-Hydroxy-Amino)-Ethyl]-Phosphonic Acid,ON(CCP(O)(O)=O)C=O,[O][N][Branch1][O][C][C][P][Branch1][C][O][Branch1][C][O][=O][C][=O],-1.2,-2.4,2.15e+01 g/l,1.79,-5.7
2149,2149,2158,DB03137,"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine",COC1=CC(CC2=NC3=C(N)N=C(F)N=C3N2CCCC#C)=C(OC)C=C1,[C][O][C][=C][C][Branch2][Ring1][#Branch2][C][C][=N][C][=C][Branch1][C][N][N][=C][Branch1][C][F][N][=C][Ring1][Branch2][N][Ring1][O][C][C][C][C][#C][=C][Branch1][Ring1][O][C][C][=C][Ring2][Ring1][=Branch2],3.15,2.92,2.74e-02 g/l,17.67,0.97
2150,2150,2159,DB03139,"6-[5-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Pentanoylamino]-Hexanoic Acid",[H][C@@]1(CCCCC(=O)NCCCCCC(O)=O)SC[C@]2([H])NC(=O)N[C@]12[H],[H][C@@][Branch2][Ring1][Ring2][C][C][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][C][Branch1][C][O][=O][S][C][C@][Branch1][C][H][N][C][=Branch1][C][=O][N][C@][Ring2][Ring1][=Branch2][Ring1][#Branch1][H],1.06,0.63,6.93e-02 g/l,4.47,0.074
2151,2151,2160,DB03140,4-Carboxyphenylboronic Acid,OB(O)C1=CC=C(C=C1)C(O)=O,[O][B][Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O],0.3,1.16,1.17e+00 g/l,3.59,-5.5
2152,2152,2161,DB03141,"3-{[(5R,6R)-5-Benzyl-6-hydroxy-2,4-bis(4-hydroxybenzyl)-3-oxo-1,2,4-triazepan-1-yl]sulfonyl}benzonitril",O[C@@H]1CN(N(CC2=CC=C(O)C=C2)C(=O)N(CC2=CC=C(O)C=C2)[C@@H]1CC1=CC=CC=C1)S(=O)(=O)C1=CC(=CC=C1)C#N,[O][C@@H1][C][N][Branch2][Ring2][S][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C@@H1][Ring2][Ring1][Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][#N],3.57,4.52,1.41e-02 g/l,9.19,-3.2
2153,2153,2162,DB03142,Alpha-L-Arabinose,OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O,[O][C][C@@H1][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch1][O],-2.6,-2.3,1.07e+03 g/l,11.31,-3.0
2154,2154,2163,DB03143,Nonan-1-Ol,CCCCCCCCCO,[C][C][C][C][C][C][C][C][C][O],3.76,3.03,1.50e-01 g/l,16.84,-2.0
2155,2155,2164,DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,N[C@@H](CCCNC(=N)NO)C(O)=O,[N][C@@H1][Branch1][O][C][C][C][N][C][=Branch1][C][=N][N][O][C][Branch1][C][O][=O],-3.6,-3.3,1.49e+00 g/l,2.2,10.48
2156,2156,2165,DB03145,4-Methyl-5-Hydroxyethylthiazole Phosphate,CC1=C(CCOP(O)(O)=O)SC=N1,[C][C][=C][Branch1][N][C][C][O][P][Branch1][C][O][Branch1][C][O][=O][S][C][=N][Ring1][N],0.09,-0.51,2.73e+00 g/l,1.61,2.58
2157,2157,2166,DB03146,2-deazo-6-thiophosphate guanosine-5'-monophosphate,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C2[NH+]=CN=C3SP(O)(O)=O)[C@]([H])(O)[C@]1([H])O,[H][C@][Branch1][O][C][O][P][Branch1][C][O][Branch1][C][O][=O][O][C@@][Branch1][C][H][Branch2][Ring1][#Branch1][N][C][=N][C][=C][Ring1][Branch1][NH1+1][=C][N][=C][Ring1][=Branch1][S][P][Branch1][C][O][Branch1][C][O][=O][C@][Branch1][C][H][Branch1][C][O][C@][Ring2][Ring1][N][Branch1][C][H][O],-1.4,-4.2,2.73e+00 g/l,0.88,4.68
2158,2158,2167,DB03147,Flavin adenine dinucleotide,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2,[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][N][Branch2][Branch1][N][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][P@][Branch1][C][O][=Branch1][C][=O][O][P@@][Branch1][C][O][=Branch1][C][=O][O][C][C@H1][O][C@H1][Branch1][=Branch2][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch1][O][N][C][=N][C][=C][Ring1][Branch1][N][=C][N][=C][Ring1][=Branch1][N][C][=N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2][=N][Ring2][Branch1][C],-0.78,-5.3,4.25e+00 g/l,1.86,4.99
2159,2159,2168,DB03148,Adenosine 5'-methylenediphosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]1O,[N][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch2][Ring1][Ring1][C][O][P][Branch1][C][O][=Branch1][C][=O][C][P][Branch1][C][O][Branch1][C][O][=O][C@@H1][Branch1][C][O][C@H1][Ring1][S][O],-1.9,-6.0,3.36e+00 g/l,0.89,4.92
2160,2160,2169,DB03150,"2',3'-Dideoxythymidine-5'-Monophosphate",CC1=CN([C@H]2CC[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,[C][C][=C][N][Branch2][Ring1][Ring2][C@H1][C][C][C@@H1][Branch1][O][C][O][P][Branch1][C][O][Branch1][C][O][=O][O][Ring1][O][C][=Branch1][C][=O][N][C][Ring2][Ring1][C][=O],-1.1,-0.53,6.52e+00 g/l,1.31,-4.2
2161,2161,2170,DB03152,B-2-Octylglucoside,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC,[H][C@@][Branch1][C][O][O][C@][Branch1][C][H][Branch1][Ring1][C][O][C@@][Branch1][C][H][Branch1][C][O][C@][Branch1][C][H][Branch1][C][O][C@@][Ring1][=C][Branch1][C][H][O][C][C][C][C][C][C][C][C],1.2,0.81,1.52e+01 g/l,11.33,-3.0
2162,2162,2171,DB03153,"3H-pyrazolo[4,3-d]pyrimidin-7-ol",OC1=NC=NC2=C1N=NC2,[O][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=N][C][Ring1][Branch1],0.0,0.49,1.55e+00 g/l,9.67,-0.15
2163,2163,2172,DB03155,2'-fluoro-2'-deoxyuridine 3'-monophosphate,[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@]2([H])F)C1=O,[H][N][C][=Branch1][C][=O][C][=C][N][Branch2][Ring1][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][#Branch2][O][P][Branch1][C][O][Branch1][C][O][=O][C@@][Ring1][N][Branch1][C][H][F][C][Ring2][Ring1][Branch1][=O],-0.68,-1.6,8.91e+00 g/l,0.58,-3.0
2164,2164,2173,DB03156,beta-D-glucuronic acid,O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,[O][C@@H1][O][C@@H1][Branch1][=N][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][C][Branch1][C][O][=O],-2.3,-2.6,2.95e+02 g/l,3.21,-3.7
2165,2165,2174,DB03157,"N,O-Didansyl-L-Tyrosine",[H][C@@](CC1=CC=C(OS(=O)(=O)C2=CC=CC3=C2C=CC=C3N(C)C)C=C1)(NS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C)C(O)=O,[H][C@@][Branch2][Ring2][=Branch2][C][C][=C][C][=C][Branch2][Ring1][N][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][C][=C][Ring2][Ring1][#Branch1][Branch2][Ring1][N][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][C][Branch1][C][O][=O],3.83,3.72,9.95e-04 g/l,2.89,4.9
2166,2166,2175,DB03158,"D-Myo-Inositol-1,4-Bisphosphate",O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1OP(O)(O)=O,[O][C@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][O][P][Branch1][C][O][Branch1][C][O][=O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=C][O][P][Branch1][C][O][Branch1][C][O][=O],-1.3,-4.0,2.44e+01 g/l,0.86,-3.7
2167,2167,2176,DB03159,CRA_8696,NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(=C1[O-])C1=CC=CC=C1,[N][C][=Branch1][C][=NH2+1][C][=C][C][=C][N][C][=Branch1][Branch2][=C][C][Ring1][Branch1][=C][Ring1][=Branch2][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.41,3.49,1.98e-04 g/l,9.36,11.22
2168,2168,2177,DB03160,N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate,[H][C@@](C)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(=O)CCCCCC(O)=O,[H][C@@][Branch1][C][C][Branch2][Ring1][O][N][C][C][=C][Branch1][O][C][O][P][Branch1][C][O][Branch1][C][O][=O][C][=N][C][Branch1][C][C][=C][Ring1][=N][O][C][=Branch1][C][=O][C][C][C][C][C][C][Branch1][C][O][=O],-0.01,-0.75,2.39e-01 g/l,1.74,7.99
2169,2169,2178,DB03161,Thymidine-5'-diphospho-beta-D-xylose,[H]N1C(=O)N(C=C(C)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)O1,[H][N][C][=Branch1][C][=O][N][Branch1][#Branch2][C][=C][Branch1][C][C][C][Ring1][Branch2][=O][C@H1][C][C@H1][Branch1][C][O][C@@H1][Branch2][Ring2][C][C][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C@H1][O][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][Branch2][O][O][Ring2][Ring1][=Branch2],-1.3,-3.1,1.13e+01 g/l,1.73,-3.2
2170,2170,2179,DB03162,"4-oxo-4,5-dihydro-1,2,5-thiadiazole-3-carboxylic acid",OC(=O)C1=NSN=C1O,[O][C][=Branch1][C][=O][C][=N][S][N][=C][Ring1][Branch1][O],-0.26,1.34,5.27e+00 g/l,1.32,-3.1
2171,2171,2180,DB03163,2-oxopropyl-CoM,CC(=O)CSCCS(O)(=O)=O,[C][C][=Branch1][C][=O][C][S][C][C][S][Branch1][C][O][=Branch1][C][=O][=O],-1.4,-0.52,2.39e+01 g/l,-1.0,-7.5
2172,2172,2181,DB03164,6-amino-1-methyl-7H-purin-1-ium,[H]N([H])C1=[N+](C)C=NC2=C1N([H])C=N2,[H][N][Branch1][C][H][C][=N+1][Branch1][C][C][C][=N][C][=C][Ring1][#Branch1][N][Branch1][C][H][C][=N][Ring1][=Branch1],-2.9,-5.5,4.33e+00 g/l,8.32,2.42
2173,2173,2182,DB03165,2-Dimethylamino-Ethyl-Diphosphate,CN(C)CCO[P@](O)(=O)OP(O)(O)=O,[C][N][Branch1][C][C][C][C][O][P@][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][Branch1][C][O][=O],-0.51,-2.7,1.46e+01 g/l,1.76,9.1
2174,2174,2183,DB03167,Pentabromophenol,OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,[O][C][=C][Branch1][C][Br][C][Branch1][C][Br][=C][Branch1][C][Br][C][Branch1][C][Br][=C][Ring1][#Branch2][Br],5.3,5.51,2.06e-03 g/l,5.01,-8.4
2175,2175,2184,DB03168,Nicotinamide adenine dinucleotide cyclohexanone,[H]N([H])C(=O)C1=C(C=C[N+](=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O)[C@@H]1CCCCC1=O,[H][N][Branch1][C][H][C][=Branch1][C][=O][C][=C][Branch2][=Branch1][N][C][=C][N+1][=Branch1][Ring2][=C][Ring1][=Branch1][C@@H1][O][C@H1][Branch2][Branch1][Branch1][C][O][P][Branch1][C][O-1][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C][C@H1][O][C@H1][Branch1][=Branch2][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch1][O][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch2][Ring1][=Branch1][N][Branch1][C][H][H][C@@H1][Branch1][C][O][C@H1][Ring2][Ring2][Ring2][O][C@@H1][C][C][C][C][C][Ring1][=Branch1][=O],-0.64,-8.8,1.71e+00 g/l,1.85,4.93
2176,2176,2185,DB03169,(S)-Hmg-Coa,[H][C@](O)(C([O-])=NCCC([O-])=NCCSC(=O)C[C@@](C)(O)CC([O-])=O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP([O-])([O-])=O,[H][C@][Branch1][C][O][Branch2][Ring2][C][C][Branch1][C][O-1][=N][C][C][C][Branch1][C][O-1][=N][C][C][S][C][=Branch1][C][=O][C][C@@][Branch1][C][C][Branch1][C][O][C][C][Branch1][C][O-1][=O][C][Branch1][C][C][Branch1][C][C][C][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C][C@@][Branch1][C][H][O][C@@][Branch1][C][H][Branch1][P][N][C][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch2][Ring1][#Branch1][C@][Branch1][C][H][Branch1][C][O][C@][Ring2][Ring1][Ring1][Branch1][C][H][O][P][Branch1][C][O-1][Branch1][C][O-1][=O],-0.14,-4.8,9.00e+00 g/l,0.82,4.84
2177,2177,2186,DB03170,Dephospho Coenzyme A,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,[C][C][Branch1][C][C][Branch2][Ring2][#C][C][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C][C@H1][O][C@H1][Branch1][=Branch2][C@H1][Branch1][C][O][C@@H1][Ring1][=Branch1][O][N][C][=N][C][=C][Ring1][Branch1][N][=C][N][=C][Ring1][=Branch1][N][C@@H1][Branch1][C][O][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S],-0.98,-5.9,2.56e+00 g/l,1.86,5.0
2178,2178,2187,DB03172,Tubercidin,NC1=NC=NC2=C1C=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,[N][C][=N][C][=N][C][=C][Ring1][=Branch1][C][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][Branch2][O],-0.83,-1.3,1.66e+01 g/l,12.46,6.51
2179,2179,2188,DB03173,CRA_10433,NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(OC2CCCC2)=C1[O-],[N][C][=Branch1][C][=NH2+1][C][=C][C][=C][N][C][=Branch1][Branch2][=C][C][Ring1][Branch1][=C][Ring1][=Branch2][C][=C][C][=C][C][Branch1][=Branch2][O][C][C][C][C][C][Ring1][Branch1][=C][Ring1][N][O-1],1.34,3.01,1.00e-03 g/l,9.66,11.23
2180,2180,2189,DB03174,Phosphonoacetaldehyde,OP(O)(=O)CC=O,[O][P][Branch1][C][O][=Branch1][C][=O][C][C][=O],-1.1,-1.9,2.32e+01 g/l,1.69,-7.3
2181,2181,2190,DB03175,Propyl alcohol,CCCO,[C][C][C][O],0.21,0.36,3.91e+02 g/l,16.85,-2.0
2182,2182,2191,DB03176,KB-141,CC(C)C1=CC(OC2=C(Cl)C=C(CC(O)=O)C=C2Cl)=CC=C1O,[C][C][Branch1][C][C][C][=C][C][Branch2][Ring1][=Branch1][O][C][=C][Branch1][C][Cl][C][=C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][=C][Ring1][O][Cl][=C][C][=C][Ring2][Ring1][Ring1][O],4.88,5.26,3.19e-03 g/l,3.27,-3.7
2183,2183,2192,DB03177,5-methylbenzimidazole,CC1=CC2=C(C=C1)N=CN2,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=C][N][Ring1][#Branch1],1.82,1.77,6.80e+00 g/l,12.46,6.0
2184,2184,2193,DB03178,"Guanosine-2',3'-cyclophosphorothioate",[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](CO)[C@@]2([H])O[P@](O)(=S)O[C@@]12[H],[H][N][Branch1][C][H][C][=N][C][=Branch1][C][=O][C][=C][Branch1][Branch1][N][Ring1][#Branch1][H][N][Branch1][Branch1][C][=N][Ring1][#Branch1][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@][Branch1][C][H][O][P@][Branch1][C][O][=Branch1][C][=S][O][C@@][Ring1][=N][Ring1][Branch2][H],-0.24,-1.0,2.25e+00 g/l,1.71,3.01
2185,2185,2194,DB03179,Sinapoyl coenzyme A,COC1=CC(\C=C\C(=O)SCCNC(=O)CCNC(=O)C2(O)[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@@H](O)[C@@H]3OP(O)(O)=O)N3C=NC4=C(N)N=CN=C34)C2(C)C)=CC(OC)=C1O,[C][O][C][=C][C][Branch2][#Branch1][=N][\C][=C][\C][=Branch1][C][=O][S][C][C][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][Branch1][C][O][C@H1][Branch2][Branch1][Branch2][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C][C@H1][O][C@H1][Branch1][P][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch1][O][P][Branch1][C][O][Branch1][C][O][=O][N][C][=N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch2][Ring1][#Branch1][C][Ring2][Ring2][Ring1][Branch1][C][C][C][=C][C][Branch1][Ring1][O][C][=C][Ring2][Branch1][N][O],0.43,-4.1,3.03e+00 g/l,0.82,4.89
2186,2186,2195,DB03181,"2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione",CC(C)C1=CC(OC2=C(C)C=C(C=C2C)N2N=CC(=O)NC2=O)=CC=C1O,[C][C][Branch1][C][C][C][=C][C][Branch2][Ring1][N][O][C][=C][Branch1][C][C][C][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][C][N][N][=C][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][=C][C][=C][Ring2][Ring1][#Branch1][O],3.62,4.52,1.01e-02 g/l,7.33,-5.7
2187,2187,2196,DB03182,alpha-Fluoro-carboxymethyldethia coenzyme A complex,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CC[C@@H](F)C(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,[H][N][Branch1][C][H][C][=C][N][=C][N][Branch2][#Branch1][Ring1][C@@H1][O][C@H1][Branch2][Branch1][N][C][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C][C][Branch1][C][C][Branch1][C][C][C@@H1][Branch1][C][O][C][=Branch1][C][=O][N][Branch1][C][H][C][C][C][=Branch1][C][=O][N][Branch1][C][H][C][C][C@@H1][Branch1][C][F][C][Branch1][C][O][=O][C@@H1][Branch1][#Branch2][O][P][Branch1][C][O][Branch1][C][O][=O][C@H1][Ring2][Ring2][O][O][C][Ring2][Ring2][P][=N][C][=N][Ring2][Branch1][Branch1],-0.59,-6.4,3.91e+00 g/l,0.83,4.93
2188,2188,2197,DB03184,5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,[H][C@]1(N)C[C@@]([H])(C)[C@@]([H])(N1)C(O)=O,[H][C@][Branch1][C][N][C][C@@][Branch1][C][H][Branch1][C][C][C@@][Branch1][C][H][Branch1][Ring2][N][Ring1][=Branch2][C][Branch1][C][O][=O],-2.9,-2.8,1.93e+02 g/l,3.13,8.62
2189,2189,2198,DB03185,"1-Beta-Ribofuranosyl-1,3-Diazepinone",[H][C@]1(CO)O[C@@]([H])(N2C=CC=CNC2=O)[C@]([H])(O)[C@]1([H])O,[H][C@][Branch1][Ring1][C][O][O][C@@][Branch1][C][H][Branch1][O][N][C][=C][C][=C][N][C][Ring1][#Branch1][=O][C@][Branch1][C][H][Branch1][C][O][C@][Ring2][Ring1][C][Branch1][C][H][O],-1.4,-2.0,1.83e+02 g/l,10.29,-3.0
2190,2190,2199,DB03186,Adenylate-3'-phosphate-[[2'-deoxy-uridine-5'-phosphate]-3'-phosphate],[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4C[C@@H](O[C@@H]4COP(O)(O)=O)N4C=CC(=O)N([H])C4=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,[H][N][Branch1][C][H][C][=C][N][=C][N][Branch2][=Branch1][N][C@@H1][O][C@H1][Branch2][Branch1][Branch1][C][O][P][Branch1][C][O][=Branch1][C][=O][O][P][Branch1][C][O][=Branch1][C][=O][O][C@H1][C][C@@H1][Branch1][#C][O][C@@H1][Ring1][Branch1][C][O][P][Branch1][C][O][Branch1][C][O][=O][N][C][=C][C][=Branch1][C][=O][N][Branch1][C][H][C][Ring1][Branch2][=O][C@@H1][Branch1][#Branch2][O][P][Branch1][C][O][Branch1][C][O][=O][C@H1][Ring2][Ring2][Branch2][O][C][Ring2][Ring2][=C][=N][C][=N][Ring2][Branch1][C],-0.57,-6.0,5.12e+00 g/l,0.68,4.0
2191,2191,2200,DB03187,6-(Hydroxyethyldithio)-8-(Aminomethylthio)Octanoic Acid,[H][C@](CCCCC(O)=O)(CCSCN)SSCCO,[H][C@][Branch1][#Branch2][C][C][C][C][C][Branch1][C][O][=O][Branch1][=Branch1][C][C][S][C][N][S][S][C][C][O],-0.53,-1.1,5.05e-02 g/l,4.06,8.33
